,,,,,,,,,,,,,
,IMG_NO,"이미지 (전, 좌, 후, 우)",,,,공식 제품 명,장난감 종류,소재,부품이 모두 있는가,오염도,기부 가능 여부 (리사이클링),일부 재활용 가능 여부 (업사이클링),리사이클링 또는 업사이클링 불가 이유
,0047,img_0047_front,img_0047_left,img_0047_rear,img_0047_right,,자동차 장난감,플라스틱,일부 없음,더러움 (재활용 불가),불가능,가능,차가 쪼개짐
,0048,img_0048_front,img_0048_left,img_0048_rear,img_0048_right,,피규어,"플라스틱, 실리콘",판단 불가,보통,불가능,불가능,겉소재가 실리콘
,0049,img_0049_front,img_0049_left,img_0049_rear,img_0049_right,,건전지 장난감 (사운드북 포함),플라스틱,일부 없음,보통,불가능,가능,팔 부서짐
,0050,img_0050_front,img_0050_left,img_0050_rear,img_0050_right,,자동차 장난감,플라스틱,있음,더러움 (재활용 불가),불가능,가능,더러움
,0051,img_0051_front,img_0051_left,img_0051_rear,img_0051_right,,자동차 장난감,플라스틱,일부 없음,더러움 (재활용 불가),불가능,가능,"바퀴 파손, 더러움"
,0052,img_0052_front,img_0052_left,img_0052_rear,img_0052_right,,변신 로봇,플라스틱,일부 없음,보통,불가능,가능,다리 없음
,0053,img_0053_front,img_0053_left,img_0053_rear,img_0053_right,,자동차 장난감,플라스틱,일부 없음,보통,불가능,가능,자동차 전조등이 없어보임
,0054,img_0054_front,img_0054_left,img_0054_rear,img_0054_right,,자동차 장난감,플라스틱,일부 없음,더러움 (재활용 불가),불가능,가능,파손이 많음
,0055,img_0055_front,img_0055_left,img_0055_rear,img_0055_right,,자동차 장난감,플라스틱,일부 없음,보통,불가능,가능,뒤에 사다리 깨짐
,0056,img_0056_front,img_0056_left,img_0056_rear,img_0056_right,,기타,플라스틱,판단 불가,보통,불가능,가능,용도 불분명
,0057,img_0057_front,img_0057_left,img_0057_rear,img_0057_right,,피규어,플라스틱,일부 없음,깨끗 (미세소독 필요),불가능,가능,팔이 없음
,0058,img_0058_front,img_0058_left,img_0058_rear,img_0058_right,,건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0059,img_0059_front,img_0059_left,img_0059_rear,img_0059_right,,비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0060,img_0060_front,img_0060_left,img_0060_rear,img_0060_right,,건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0061,img_0061_front,img_0061_left,img_0061_rear,img_0061_right,,건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0062,img_0062_front,img_0062_left,img_0062_rear,img_0062_right,,자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0063,img_0063_front,img_0063_left,img_0063_rear,img_0063_right,,자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0064,img_0064_front,img_0064_left,img_0064_rear,img_0064_right,,건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0065,img_0065_front,img_0065_left,img_0065_rear,img_0065_right,,비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0066,img_0066_front,img_0066_left,img_0066_rear,img_0066_right,,비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0067,img_0067_front,img_0067_left,img_0067_rear,img_0067_right,,건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0068,img_0068_front,img_0068_left,img_0068_rear,img_0068_right,,비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0069,img_0069_front,img_0069_left,img_0069_rear,img_0069_right,,건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0070,img_0070_front,img_0070_left,img_0070_rear,img_0070_right,,비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0071,img_0071_front,img_0071_left,img_0071_rear,img_0071_right,,피규어,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0072,img_0072_front,img_0072_left,img_0072_rear,img_0072_right,,비건전지 장난감 (,플라스틱,일부 없음,보통,가능,,
,0073,img_0073_front,img_0073_left,img_0073_rear,img_0073_right,,피규어,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0074,img_0074_front,img_0074_left,img_0074_rear,img_0074_right,,피규어,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0075,img_0075_front,img_0075_left,img_0075_rear,img_0075_right,,비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0076,img_0076_front,img_0076_left,img_0076_rear,img_0076_right,,비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0077,img_0077_front,img_0077_left,img_0077_rear,img_0077_right,,비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0078,img_0078_front,img_0078_left,img_0078_rear,img_0078_right,,건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0079,img_0079_front,img_0079_left,img_0079_rear,img_0079_right,,비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0080,img_0080_front,img_0080_left,img_0080_rear,img_0080_right,,건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0081,img_0081_front,img_0081_left,img_0081_rear,img_0081_right,,건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0082,img_0082_front,img_0082_left,img_0082_rear,img_0082_right,,변신 로봇,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0083,img_0083_front,img_0083_left,img_0083_rear,img_0083_right,,비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0084,img_0084_front,img_0084_left,img_0084_rear,img_0084_right,,피규어,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0085,img_0085_front,img_0085_left,img_0085_rear,img_0085_right,,자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0086,img_0086_front,img_0086_left,img_0086_rear,img_0086_right,,비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0087,img_0087_front,img_0087_left,img_0087_rear,img_0087_right,,건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0088,img_0088_front,img_0088_left,img_0088_rear,img_0088_right,,비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0089,img_0089_front,img_0089_left,img_0089_rear,img_0089_right,,비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0090,img_0090_front,img_0090_left,img_0090_rear,img_0090_right,,피규어,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0091,img_0091_front,img_0091_left,img_0091_rear,img_0091_right,,피규어,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0092,img_0092_front,img_0092_left,img_0092_rear,img_0092_right,,자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0093,img_0093_front,img_0093_left,img_0093_rear,img_0093_right,,자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0094,img_0094_front,img_0094_left,img_0094_rear,img_0094_right,,자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0095,img_0095_front,img_0095_left,img_0095_rear,img_0095_right,,피규어,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0096,img_0096_front,img_0096_left,img_0096_rear,img_0096_right,,비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0097,img_0097_front,img_0097_left,img_0097_rear,img_0097_right,,자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0098,img_0098_front,img_0098_left,img_0098_rear,img_0098_right,,자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0099,img_0099_front,img_0099_left,img_0099_rear,img_0099_right,,건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0100,img_0100_front,img_0100_left,img_0100_rear,img_0100_right,,비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0101,img_0101_front,img_0101_left,img_0101_rear,img_0101_right,,,,,,,,
,0102,img_0102_front,img_0102_left,img_0102_rear,img_0102_right,,,,,,,,
,0103,img_0103_front,img_0103_left,img_0103_rear,img_0103_right,,,,,,,,
,0104,img_0104_front,img_0104_left,img_0104_rear,img_0104_right,,,,,,,,
,0105,img_0105_front,img_0105_left,img_0105_rear,img_0105_right,,,,,,,,
,0106,img_0106_front,img_0106_left,img_0106_rear,img_0106_right,,,,,,,,
,0107,img_0107_front,img_0107_left,img_0107_rear,img_0107_right,,,,,,,,
,0108,img_0108_front,img_0108_left,img_0108_rear,img_0108_right,,,,,,,,
,0109,img_0109_front,img_0109_left,img_0109_rear,img_0109_right,,,,,,,,
,0110,img_0110_front,img_0110_left,img_0110_rear,img_0110_right,,,,,,,,
,0111,img_0111_front,img_0111_left,img_0111_rear,img_0111_right,,,,,,,,
,0112,img_0112_front,img_0112_left,img_0112_rear,img_0112_right,,,,,,,,
,0113,img_0113_front,img_0113_left,img_0113_rear,img_0113_right,,,,,,,,
,0114,img_0114_front,img_0114_left,img_0114_rear,img_0114_right,,,,,,,,
,0115,img_0115_front,img_0115_left,img_0115_rear,img_0115_right,,,,,,,,
,0116,img_0116_front,img_0116_left,img_0116_rear,img_0116_right,,,,,,,,
,0117,img_0117_front,img_0117_left,img_0117_rear,img_0117_right,,,,,,,,
,0118,img_0118_front,img_0118_left,img_0118_rear,img_0118_right,,,,,,,,
,0119,img_0119_front,img_0119_left,img_0119_rear,img_0119_right,,,,,,,,
,0120,img_0120_front,img_0120_left,img_0120_rear,img_0120_right,,,,,,,,
,0121,img_0121_front,img_0121_left,img_0121_rear,img_0121_right,,,,,,,,
,0122,img_0122_front,img_0122_left,img_0122_rear,img_0122_right,,,,,,,,
,0123,img_0123_front,img_0123_left,img_0123_rear,img_0123_right,,,,,,,,
,0124,img_0124_front,img_0124_left,img_0124_rear,img_0124_right,,,,,,,,
,0125,img_0125_front,img_0125_left,img_0125_rear,img_0125_right,,,,,,,,
,0126,img_0126_front,img_0126_left,img_0126_rear,img_0126_right,,,,,,,,
,0127,img_0127_front,img_0127_left,img_0127_rear,img_0127_right,,,,,,,,
,0128,img_0128_front,img_0128_left,img_0128_rear,img_0128_right,,,,,,,,
,0129,img_0129_front,img_0129_left,img_0129_rear,img_0129_right,,,,,,,,
,0130,img_0130_front,img_0130_left,img_0130_rear,img_0130_right,,,,,,,,
,0131,img_0131_front,img_0131_left,img_0131_rear,img_0131_right,,,,,,,,
,0132,img_0132_front,img_0132_left,img_0132_rear,img_0132_right,,,,,,,,
,0133,img_0133_front,img_0133_left,img_0133_rear,img_0133_right,,,,,,,,
,0134,img_0134_front,img_0134_left,img_0134_rear,img_0134_right,,,,,,,,
,0135,img_0135_front,img_0135_left,img_0135_rear,img_0135_right,,,,,,,,
,0136,img_0136_front,img_0136_left,img_0136_rear,img_0136_right,,,,,,,,
,0137,img_0137_front,img_0137_left,img_0137_rear,img_0137_right,,,,,,,,
,0138,img_0138_front,img_0138_left,img_0138_rear,img_0138_right,,,,,,,,
,0139,img_0139_front,img_0139_left,img_0139_rear,img_0139_right,,,,,,,,
,0140,img_0140_front,img_0140_left,img_0140_rear,img_0140_right,,,,,,,,
,0141,img_0141_front,img_0141_left,img_0141_rear,img_0141_right,,,,,,,,
,0142,img_0142_front,img_0142_left,img_0142_rear,img_0142_right,,,,,,,,
,0143,img_0143_front,img_0143_left,img_0143_rear,img_0143_right,,,,,,,,
,0144,img_0144_front,img_0144_left,img_0144_rear,img_0144_right,,,,,,,,
,0145,img_0145_front,img_0145_left,img_0145_rear,img_0145_right,,,,,,,,
,0146,img_0146_front,img_0146_left,img_0146_rear,img_0146_right,,,,,,,,
,0147,img_0147_front,img_0147_left,img_0147_rear,img_0147_right,,,,,,,,
,0148,img_0148_front,img_0148_left,img_0148_rear,img_0148_right,,,,,,,,
,0149,img_0149_front,img_0149_left,img_0149_rear,img_0149_right,,,,,,,,
,0150,img_0150_front,img_0150_left,img_0150_rear,img_0150_right,,,,,,,,
,0151,img_0151_front,img_0151_left,img_0151_rear,img_0151_right,,,,,,,,
,0152,img_0152_front,img_0152_left,img_0152_rear,img_0152_right,,,,,,,,
,0153,img_0153_front,img_0153_left,img_0153_rear,img_0153_right,,,,,,,,
,0154,img_0154_front,img_0154_left,img_0154_rear,img_0154_right,,,,,,,,
,0155,img_0155_front,img_0155_left,img_0155_rear,img_0155_right,,,,,,,,
,0156,img_0156_front,img_0156_left,img_0156_rear,img_0156_right,,,,,,,,
,0157,img_0157_front,img_0157_left,img_0157_rear,img_0157_right,,,,,,,,
,0158,img_0158_front,img_0158_left,img_0158_rear,img_0158_right,,,,,,,,
,0159,img_0159_front,img_0159_left,img_0159_rear,img_0159_right,,,,,,,,
,0160,img_0160_front,img_0160_left,img_0160_rear,img_0160_right,,,,,,,,
,0161,img_0161_front,img_0161_left,img_0161_rear,img_0161_right,,,,,,,,
,0162,img_0162_front,img_0162_left,img_0162_rear,img_0162_right,,,,,,,,
,0163,img_0163_front,img_0163_left,img_0163_rear,img_0163_right,,,,,,,,
,0164,img_0164_front,img_0164_left,img_0164_rear,img_0164_right,,,,,,,,
,0165,img_0165_front,img_0165_left,img_0165_rear,img_0165_right,,,,,,,,
,0166,img_0166_front,img_0166_left,img_0166_rear,img_0166_right,,,,,,,,
,0167,img_0167_front,img_0167_left,img_0167_rear,img_0167_right,,,,,,,,
,0168,img_0168_front,img_0168_left,img_0168_rear,img_0168_right,,,,,,,,
,0169,img_0169_front,img_0169_left,img_0169_rear,img_0169_right,,,,,,,,
,0170,img_0170_front,img_0170_left,img_0170_rear,img_0170_right,,,,,,,,
,0171,img_0171_front,img_0171_left,img_0171_rear,img_0171_right,,,,,,,,
,0172,img_0172_front,img_0172_left,img_0172_rear,img_0172_right,,,,,,,,
,0173,img_0173_front,img_0173_left,img_0173_rear,img_0173_right,,,,,,,,
,0174,img_0174_front,img_0174_left,img_0174_rear,img_0174_right,,,,,,,,
,0175,img_0175_front,img_0175_left,img_0175_rear,img_0175_right,,,,,,,,
,0176,img_0176_front,img_0176_left,img_0176_rear,img_0176_right,,,,,,,,
,0177,img_0177_front,img_0177_left,img_0177_rear,img_0177_right,,,,,,,,
,0178,img_0178_front,img_0178_left,img_0178_rear,img_0178_right,,,,,,,,
,0179,img_0179_front,img_0179_left,img_0179_rear,img_0179_right,,,,,,,,
,0180,img_0180_front,img_0180_left,img_0180_rear,img_0180_right,,,,,,,,
,0181,img_0181_front,img_0181_left,img_0181_rear,img_0181_right,,,,,,,,
,0182,img_0182_front,img_0182_left,img_0182_rear,img_0182_right,,,,,,,,
,0183,img_0183_front,img_0183_left,img_0183_rear,img_0183_right,,,,,,,,
,0184,img_0184_front,img_0184_left,img_0184_rear,img_0184_right,,,,,,,,
,0185,img_0185_front,img_0185_left,img_0185_rear,img_0185_right,,,,,,,,
,0186,img_0186_front,img_0186_left,img_0186_rear,img_0186_right,,,,,,,,
,0187,img_0187_front,img_0187_left,img_0187_rear,img_0187_right,,,,,,,,
,0188,img_0188_front,img_0188_left,img_0188_rear,img_0188_right,,,,,,,,
,0189,img_0189_front,img_0189_left,img_0189_rear,img_0189_right,,,,,,,,
,0190,img_0190_front,img_0190_left,img_0190_rear,img_0190_right,,,,,,,,
,0191,img_0191_front,img_0191_left,img_0191_rear,img_0191_right,,,,,,,,
,0192,img_0192_front,img_0192_left,img_0192_rear,img_0192_right,,,,,,,,
,0193,img_0193_front,img_0193_left,img_0193_rear,img_0193_right,,,,,,,,
,0194,img_0194_front,img_0194_left,img_0194_rear,img_0194_right,,,,,,,,
,0195,img_0195_front,img_0195_left,img_0195_rear,img_0195_right,,,,,,,,
,0196,img_0196_front,img_0196_left,img_0196_rear,img_0196_right,,,,,,,,
,0197,img_0197_front,img_0197_left,img_0197_rear,img_0197_right,,,,,,,,
,0198,img_0198_front,img_0198_left,img_0198_rear,img_0198_right,,,,,,,,
,0199,img_0199_front,img_0199_left,img_0199_rear,img_0199_right,,,,,,,,
,0200,img_0200_front,img_0200_left,img_0200_rear,img_0200_right,,,,,,,,
,0201,img_0201_front,img_0201_left,img_0201_rear,img_0201_right,,,,,,,,
,0202,img_0202_front,img_0202_left,img_0202_rear,img_0202_right,,,,,,,,
,0203,img_0203_front,img_0203_left,img_0203_rear,img_0203_right,,,,,,,,
,0204,img_0204_front,img_0204_left,img_0204_rear,img_0204_right,,,,,,,,
,0205,img_0205_front,img_0205_left,img_0205_rear,img_0205_right,,,,,,,,
,0206,img_0206_front,img_0206_left,img_0206_rear,img_0206_right,,,,,,,,
,0207,img_0207_front,img_0207_left,img_0207_rear,img_0207_right,,,,,,,,
,0208,img_0208_front,img_0208_left,img_0208_rear,img_0208_right,,,,,,,,
,0209,img_0209_front,img_0209_left,img_0209_rear,img_0209_right,,,,,,,,
,0210,img_0210_front,img_0210_left,img_0210_rear,img_0210_right,,,,,,,,
,0211,img_0211_front,img_0211_left,img_0211_rear,img_0211_right,,,,,,,,
,0212,img_0212_front,img_0212_left,img_0212_rear,img_0212_right,,,,,,,,
,0213,img_0213_front,img_0213_left,img_0213_rear,img_0213_right,,,,,,,,
,0214,img_0214_front,img_0214_left,img_0214_rear,img_0214_right,,,,,,,,
,0215,img_0215_front,img_0215_left,img_0215_rear,img_0215_right,,,,,,,,
,0216,img_0216_front,img_0216_left,img_0216_rear,img_0216_right,,,,,,,,
,0217,img_0217_front,img_0217_left,img_0217_rear,img_0217_right,,,,,,,,
,0218,img_0218_front,img_0218_left,img_0218_rear,img_0218_right,,,,,,,,
,0219,img_0219_front,img_0219_left,img_0219_rear,img_0219_right,,,,,,,,
,0220,img_0220_front,img_0220_left,img_0220_rear,img_0220_right,,,,,,,,
,0221,img_0221_front,img_0221_left,img_0221_rear,img_0221_right,,,,,,,,
,0222,img_0222_front,img_0222_left,img_0222_rear,img_0222_right,,,,,,,,
,0223,img_0223_front,img_0223_left,img_0223_rear,img_0223_right,,,,,,,,
,0224,img_0224_front,img_0224_left,img_0224_rear,img_0224_right,,,,,,,,
,0225,img_0225_front,img_0225_left,img_0225_rear,img_0225_right,,,,,,,,
,0226,img_0226_front,img_0226_left,img_0226_rear,img_0226_right,,,,,,,,
,0227,img_0227_front,img_0227_left,img_0227_rear,img_0227_right,,,,,,,,
,0228,img_0228_front,img_0228_left,img_0228_rear,img_0228_right,,,,,,,,
,0229,img_0229_front,img_0229_left,img_0229_rear,img_0229_right,,,,,,,,
,0230,img_0230_front,img_0230_left,img_0230_rear,img_0230_right,,,,,,,,
,0231,img_0231_front,img_0231_left,img_0231_rear,img_0231_right,,,,,,,,
,0232,img_0232_front,img_0232_left,img_0232_rear,img_0232_right,,,,,,,,
,0233,img_0233_front,img_0233_left,img_0233_rear,img_0233_right,,,,,,,,
,0234,img_0234_front,img_0234_left,img_0234_rear,img_0234_right,,,,,,,,
,0235,img_0235_front,img_0235_left,img_0235_rear,img_0235_right,,,,,,,,
,0236,img_0236_front,img_0236_left,img_0236_rear,img_0236_right,,,,,,,,
,0237,img_0237_front,img_0237_left,img_0237_rear,img_0237_right,,,,,,,,
,0238,img_0238_front,img_0238_left,img_0238_rear,img_0238_right,,,,,,,,
,0239,img_0239_front,img_0239_left,img_0239_rear,img_0239_right,,,,,,,,
,0240,img_0240_front,img_0240_left,img_0240_rear,img_0240_right,,,,,,,,
,0241,img_0241_front,img_0241_left,img_0241_rear,img_0241_right,,,,,,,,
,0242,img_0242_front,img_0242_left,img_0242_rear,img_0242_right,,,,,,,,
,0243,img_0243_front,img_0243_left,img_0243_rear,img_0243_right,,,,,,,,
,0244,img_0244_front,img_0244_left,img_0244_rear,img_0244_right,,,,,,,,
,0245,img_0245_front,img_0245_left,img_0245_rear,img_0245_right,,,,,,,,
,0246,img_0246_front,img_0246_left,img_0246_rear,img_0246_right,,,,,,,,
,0247,img_0247_front,img_0247_left,img_0247_rear,img_0247_right,,,,,,,,
