IMG_NO,이미지파일,실제_기부가능여부,AI_예측_기부가능여부,정확도,AI_장난감종류,AI_재료,AI_파손,AI_오염도,AI_기부불가사유,실제_장난감종류,실제_재료,실제_부품완전성,실제_오염도
0050,img_0050_front,불가능,가능,오류,자동차 장난감,플라스틱,미세한 파손,보통,"플라스틱 비건전지 장난감, 상태 양호",자동차 장난감,플라스틱,있음,더러움 (재활용 불가)
0051,img_0051_front,불가능,가능,오류,자동차 장난감,"플라스틱,금속",미세한 파손,깨끗,"플라스틱 비건전지 장난감, 상태 양호",자동차 장난감,플라스틱,일부 없음,더러움 (재활용 불가)
0052,img_0052_front,불가능,가능,오류,자동차 장난감,"플라스틱, 금속",없음,보통,"플라스틱 비건전지 장난감, 상태 양호",변신 로봇,플라스틱,일부 없음,보통
0053,img_0053_front,불가능,가능,오류,자동차 장난감,"플라스틱,금속",없음,깨끗,"플라스틱 건전지 장난감, 상태 양호",자동차 장난감,플라스틱,일부 없음,보통
0054,img_0054_front,불가능,가능,오류,자동차 장난감,"플라스틱, 금속",미세한 파손,보통,"플라스틱 비건전지 장난감, 상태 양호",자동차 장난감,플라스틱,일부 없음,더러움 (재활용 불가)
0055,img_0055_front,불가능,가능,오류,자동차 장난감,"플라스틱,금속",미세한 파손,깨끗,"플라스틱 비건전지 장난감, 상태 양호",자동차 장난감,플라스틱,일부 없음,보통
0056,img_0056_front,불가능,불가능,정확,플라스틱 부품,플라스틱,경미한 파손,깨끗,플라스틱 부품은 기부 불가,기타,플라스틱,판단 불가,보통
0057,img_0057_front,불가능,가능,오류,피규어,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",피규어,플라스틱,일부 없음,깨끗 (미세소독 필요)
0058,img_0058_front,가능,가능,정확,건전지 장난감,플라스틱,없음,깨끗,"플라스틱 건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
0059,img_0059_front,가능,가능,정확,기타,"플라스틱, 플라스틱",없음,보통,"플라스틱 비건전지 장난감, 상태 양호",비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
0060,img_0060_front,가능,가능,정확,건전지 장난감,플라스틱,없음,깨끗,"플라스틱 건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
0061,img_0061_front,가능,가능,정확,기타,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
0062,img_0062_front,가능,가능,정확,자동차 장난감,"플라스틱, 금속",없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요)
0063,img_0063_front,가능,가능,정확,자동차 장난감,"플라스틱, 금속",없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요)
0064,img_0064_front,가능,가능,정확,건전지 장난감,플라스틱,없음,깨끗,"플라스틱 건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
0065,img_0065_front,가능,가능,정확,모형,플라스틱,미세한 파손,깨끗,"플라스틱 비건전지 장난감, 상태 양호",비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
0066,img_0066_front,가능,가능,정확,모형,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
0067,img_0067_front,가능,가능,정확,비건전지 장난감,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
0068,img_0068_front,가능,가능,정확,기타,"플라스틱,금속",없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
0069,img_0069_front,가능,가능,정확,건전지 장난감,플라스틱,없음,깨끗,"플라스틱 건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
0070,img_0070_front,가능,가능,정확,기타,"플라스틱,금속",없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
0071,img_0071_front,가능,가능,정확,피규어,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",피규어,플라스틱,있음,깨끗 (미세소독 필요)
0072,img_0072_front,가능,가능,정확,기타,"플라스틱,금속",없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",비건전지 장난감 (,플라스틱,일부 없음,보통
0073,img_0073_front,가능,가능,정확,피규어,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",피규어,플라스틱,있음,깨끗 (미세소독 필요)
0074,img_0074_front,가능,가능,정확,피규어,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",피규어,플라스틱,있음,깨끗 (미세소독 필요)
0075,img_0075_front,가능,가능,정확,기타,플라스틱,없음,보통,"플라스틱 비건전지 장난감, 상태 양호",비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
0076,img_0076_front,가능,가능,정확,모형,플라스틱,미세한 파손,깨끗,"플라스틱 비건전지 장난감, 상태 양호",비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
0077,img_0077_front,가능,가능,정확,비건전지 장난감,플라스틱,미세한 파손,보통,"플라스틱 비건전지 장난감, 상태 양호",비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
0078,img_0078_front,가능,가능,정확,건전지 장난감,플라스틱,없음,깨끗,"플라스틱 건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
0079,img_0079_front,가능,가능,정확,기타,플라스틱,없음,깨끗,"플라스틱 건전지 장난감, 상태 양호",비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
0080,img_0080_front,가능,가능,정확,건전지 장난감,플라스틱,없음,깨끗,"플라스틱 건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
0081,img_0081_front,가능,가능,정확,피규어,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
0082,img_0082_front,가능,불가능,오류,자동차 장난감,"플라스틱, 고무",없음,깨끗,실리콘/고무 소재는 재활용 불가능,변신 로봇,플라스틱,있음,깨끗 (미세소독 필요)
0083,img_0083_front,가능,가능,정확,비건전지 장난감,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
0084,img_0084_front,가능,가능,정확,변신 로봇,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",피규어,플라스틱,있음,깨끗 (미세소독 필요)
0085,img_0085_front,가능,가능,정확,자동차 장난감,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요)
0086,img_0086_front,가능,가능,정확,기타,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
0087,img_0087_front,가능,가능,정확,건전지 장난감,플라스틱,없음,보통,"플라스틱 건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
0088,img_0088_front,가능,가능,정확,자동차 장난감,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
0089,img_0089_front,가능,불가능,오류,기타,"플라스틱, 금속",미세한 파손,보통,심각한 파손으로 완제품 기부 불가,비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
0090,img_0090_front,가능,가능,정확,변신 로봇,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",피규어,플라스틱,있음,깨끗 (미세소독 필요)
0091,img_0091_front,가능,가능,정확,변신 로봇,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",피규어,플라스틱,있음,깨끗 (미세소독 필요)
0092,img_0092_front,가능,가능,정확,자동차 장난감,플라스틱,없음,보통,"플라스틱 비건전지 장난감, 상태 양호",자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요)
0093,img_0093_front,가능,불가능,오류,자동차 장난감,"플라스틱,고무",없음,깨끗,실리콘/고무 소재는 재활용 불가능,자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요)
0094,img_0094_front,가능,가능,정확,자동차 장난감,"플라스틱, 금속",없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요)
0095,img_0095_front,가능,가능,정확,피규어,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",피규어,플라스틱,있음,깨끗 (미세소독 필요)
0096,img_0096_front,가능,가능,정확,건전지 장난감,플라스틱,없음,깨끗,"플라스틱 건전지 장난감, 상태 양호",비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
0097,img_0097_front,가능,가능,정확,변신 로봇,"플라스틱, 금속",없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요)
0098,img_0098_front,가능,불가능,오류,자동차 장난감,"플라스틱, 고무",미세한 파손,깨끗,실리콘/고무 소재는 재활용 불가능,자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요)
0099,img_0099_front,가능,가능,정확,건전지 장난감,플라스틱,없음,깨끗,"플라스틱 건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
0,0000,img_0000_front,불가능,불가능,정확,피규어,플라스틱,미세한 파손,깨끗,경미한 문제로 수리 필요,피규어,"플라스틱, 천",있음,깨끗 (미세소독 필요)
1,0001,img_0001_front,가능,가능,정확,피규어,플라스틱,미세한 파손,깨끗,"플라스틱 건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
2,0002,img_0002_front,가능,가능,정확,피규어,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",피규어,플라스틱,있음,깨끗 (미세소독 필요)
3,0003,img_0003_front,가능,가능,정확,변신 로봇,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",변신 로봇,플라스틱,있음,깨끗 (미세소독 필요)
4,0004,img_0004_front,가능,불가능,오류,탈것,플라스틱,없음,깨끗,탈것은 기부 불가 종류,자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요)
5,0005,img_0005_front,가능,가능,정확,건전지 장난감,플라스틱,없음,깨끗,"플라스틱 건전지 장난감, 상태 양호",비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
6,0006,img_0006_front,가능,가능,정확,건전지 장난감,플라스틱,없음,깨끗,"플라스틱 건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
7,0007,img_0007_front,가능,가능,정확,자동차 장난감,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요)
8,0008,img_0008_front,가능,가능,정확,기타,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
9,0009,img_0009_front,가능,가능,정확,건전지 장난감,플라스틱,없음,깨끗,"플라스틱 건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
10,0010,img_0010_front,불가능,불가능,정확,탈것,"플라스틱,섬유",없음,깨끗,천/섬유 소재는 위생상 기부 불가,비건전지 장난감 (,플라스틱,판단 불가,깨끗 (미세소독 필요)
11,0011,img_0011_front,가능,불가능,오류,피규어,플라스틱,판단 불가,깨끗,경미한 문제로 수리 필요,피규어,플라스틱,있음,깨끗 (미세소독 필요)
12,0012,img_0012_front,불가능,불가능,정확,나무 장난감,나무,없음,깨끗,나무 소재는 안전상 기부 불가,나무 장난감,나무,있음,깨끗 (미세소독 필요)
13,0013,img_0013_front,가능,가능,정확,블록,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
14,0014,img_0014_front,가능,가능,정확,건전지 장난감,플라스틱,없음,깨끗,"플라스틱 건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,있음,보통
15,0015,img_0015_front,가능,가능,정확,기타,플라스틱,없음,깨끗,"플라스틱 건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
16,0016,img_0016_front,가능,가능,정확,건전지 장난감,플라스틱,없음,깨끗,"플라스틱 건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
17,0017,img_0017_front,불가능,불가능,정확,나무 장난감,나무,없음,깨끗,나무 소재는 안전상 기부 불가,나무 장난감,나무,있음,깨끗 (미세소독 필요)
18,0018,img_0018_front,불가능,불가능,정확,나무 장난감,나무,없음,깨끗,나무 소재는 안전상 기부 불가,나무 장난감,나무,있음,깨끗 (미세소독 필요)
19,0019,img_0019_front,불가능,가능,오류,자동차 장난감,플라스틱,미세한 파손,보통,"플라스틱 비건전지 장난감, 상태 양호",자동차 장난감,플라스틱,있음,보통
20,0020,img_0020_front,불가능,불가능,정확,탈것,"플라스틱,섬유",미세한 파손,깨끗,천/섬유 소재는 위생상 기부 불가,인형,"나무, 천",있음,보통
21,0021,img_0021_front,불가능,불가능,정확,피규어,플라스틱,부품 누락,깨끗,경미한 문제로 수리 필요,피규어,"플라스틱, 실리콘",일부 없음,더러움 (재활용 불가)
22,0022,img_0022_front,불가능,불가능,정확,인형,"섬유/천,플라스틱",없음,깨끗,천/섬유 소재는 위생상 기부 불가,인형,천,있음,보통
23,0023,img_0023_front,불가능,가능,오류,자동차 장난감,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요)
24,0024,img_0024_front,불가능,가능,오류,기타,플라스틱,미세한 파손,보통,"플라스틱 비건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,일부 없음,더러움 (재활용 불가)
25,0025,img_0025_front,불가능,불가능,정확,기타,실리콘,없음,깨끗,실리콘/고무 소재는 재활용 불가능,비건전지 장난감 (,실리콘,있음,깨끗 (미세소독 필요)
26,0026,img_0026_front,불가능,가능,오류,건전지 장난감,플라스틱,없음,깨끗,"플라스틱 건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,일부 없음,보통
27,0027,img_0027_front,불가능,가능,오류,기타,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,일부 없음,보통
28,0028,img_0028_front,불가능,가능,오류,기타,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",플라스틱으로만 된 장난감부품 (큰것),플라스틱,있음,보통
29,0029,img_0029_front,불가능,불가능,정확,건전지 장난감,"플라스틱,금속",부품 누락,약간 더러움,오염 상태로 위생상 기부 불가,건전지 장난감 (사운드북 포함),플라스틱,일부 없음,더러움 (재활용 불가)
30,0030,img_0030_front,불가능,가능,오류,자동차 장난감,플라스틱,없음,깨끗,"플라스틱 건전지 장난감, 상태 양호",자동차 장난감,플라스틱,있음,보통
31,0031,img_0031_front,불가능,불가능,정확,공,"플라스틱,섬유",없음,깨끗,천/섬유 소재는 위생상 기부 불가,건전지 장난감 (사운드북 포함),플라스틱,일부 없음,보통
32,0032,img_0032_front,불가능,가능,오류,자동차 장난감,"플라스틱,금속",없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",자동차 장난감,플라스틱,일부 없음,보통
33,0033,img_0033_front,불가능,불가능,정확,플라스틱 부품,플라스틱,없음,깨끗,플라스틱 부품은 기부 불가,비건전지 장난감 (,실리콘,있음,깨끗 (미세소독 필요)
34,0034,img_0034_front,불가능,불가능,정확,건전지 장난감,플라스틱,미세한 파손,깨끗,경미한 문제로 수리 필요,건전지 장난감 (사운드북 포함),플라스틱,일부 없음,더러움 (재활용 불가)
35,0035,img_0035_front,불가능,가능,오류,자동차 장난감,플라스틱,미세한 파손,깨끗,"플라스틱 비건전지 장난감, 상태 양호",자동차 장난감,플라스틱,일부 없음,더러움 (재활용 불가)
36,0036,img_0036_front,불가능,가능,오류,블록,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",기타,플라스틱,판단 불가,보통
37,0037,img_0037_front,불가능,가능,오류,자동차 장난감,"플라스틱,금속",없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",자동차 장난감,플라스틱,일부 없음,보통
38,0038,img_0038_front,불가능,가능,오류,자동차 장난감,"플라스틱, 금속",없음,깨끗,"플라스틱 건전지 장난감, 상태 양호",자동차 장난감,플라스틱,일부 없음,보통
39,0039,img_0039_front,불가능,가능,오류,변신 로봇,"플라스틱,금속",없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,판단 불가,보통
40,0040,img_0040_front,불가능,가능,오류,비건전지 장난감,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",플라스틱으로만 된 장난감부품 (큰것),플라스틱,판단 불가,보통
41,0041,img_0041_front,불가능,가능,오류,피규어,플라스틱,미세한 파손,깨끗,"플라스틱 비건전지 장난감, 상태 양호",플라스틱으로만 된 장난감부품 (큰것),플라스틱,있음,더러움 (재활용 불가)
42,0042,img_0042_front,불가능,불가능,정확,자동차 장난감,"플라스틱,고무",경미한 파손,약간 더러움,실리콘/고무 소재는 재활용 불가능,자동차 장난감,플라스틱,일부 없음,더러움 (재활용 불가)
