IMG_NO,이미지파일,실제_기부가능여부,AI_예측_기부가능여부,정확도,AI_장난감종류,AI_재료,AI_파손,AI_부품누락,AI_오염도,AI_기부불가사유,실제_장난감종류,실제_재료,실제_부품완전성,실제_오염도
0067,img_0067_front,가능,불가능,오류,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
0068,img_0068_front,가능,불가능,오류,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
0069,img_0069_front,가능,불가능,오류,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
0070,img_0070_front,가능,불가능,오류,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
0071,img_0071_front,가능,불가능,오류,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,피규어,플라스틱,있음,깨끗 (미세소독 필요)
0072,img_0072_front,가능,불가능,오류,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,비건전지 장난감 (,플라스틱,일부 없음,보통
0073,img_0073_front,가능,불가능,오류,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,피규어,플라스틱,있음,깨끗 (미세소독 필요)
0074,img_0074_front,가능,불가능,오류,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,피규어,플라스틱,있음,깨끗 (미세소독 필요)
0075,img_0075_front,가능,불가능,오류,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
0076,img_0076_front,가능,불가능,오류,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
0077,img_0077_front,가능,불가능,오류,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
0078,img_0078_front,가능,불가능,오류,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
0079,img_0079_front,가능,불가능,오류,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
0080,img_0080_front,가능,불가능,오류,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
0081,img_0081_front,가능,불가능,오류,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
0082,img_0082_front,가능,불가능,오류,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,변신 로봇,플라스틱,있음,깨끗 (미세소독 필요)
0083,img_0083_front,가능,불가능,오류,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
0084,img_0084_front,가능,불가능,오류,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,피규어,플라스틱,있음,깨끗 (미세소독 필요)
0085,img_0085_front,가능,불가능,오류,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요)
0086,img_0086_front,가능,불가능,오류,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
0087,img_0087_front,가능,불가능,오류,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
0088,img_0088_front,가능,불가능,오류,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
0089,img_0089_front,가능,불가능,오류,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
0090,img_0090_front,가능,불가능,오류,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,피규어,플라스틱,있음,깨끗 (미세소독 필요)
0091,img_0091_front,가능,불가능,오류,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,피규어,플라스틱,있음,깨끗 (미세소독 필요)
0092,img_0092_front,가능,불가능,오류,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요)
0093,img_0093_front,가능,불가능,오류,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요)
0094,img_0094_front,가능,불가능,오류,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요)
0095,img_0095_front,가능,불가능,오류,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,피규어,플라스틱,있음,깨끗 (미세소독 필요)
0096,img_0096_front,가능,불가능,오류,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
0097,img_0097_front,가능,불가능,오류,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요)
0098,img_0098_front,가능,불가능,오류,기타,mixed,minor_damage,불명,깨끗,경미한 문제로 수리 필요,자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요)
0099,img_0099_front,가능,불가능,오류,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
